category,error_code,description,remedy,error_type,description_cleaned,remedy_cleaned
"Error message codes of the ""Port configuration""",16#81A2,The module does not support this parity setting.,"Select a suitable value for ""Parity"" (PARITY).
The following are valid:
None (1)
Even (2)
Odd (3)
Mark (4)
Space (5)
Any (6)",PtP,module doe support parity setting,Select suitable value Parity PARITY following valid None 1 Even 2 Odd 3 Mark 4 Space 5 6
"Error message codes of the ""Port configuration""",16#81A3,The module does not support this number of data bits.,"Select a suitable value for ""Number of data bits"" (DATABITS).
The following are valid:
7 (2)
8 (1)",PtP,module doe support number data bit,Select suitable value Number data bit DATABITS following valid 7 2 8 1
"Error message codes of the ""Port configuration""",16#81A4,The module does not support this number of stop bits.,"Select a suitable value for ""Number of stop bits"" (STOPBITS).
The following are valid:
1 (1)
2 (2)",PtP,module doe support number stop bit,Select suitable value Number stop bit STOPBITS following valid 1 1 2 2
"Error message codes of the ""Port configuration""",16#81A5,The module does not support this type of data flow control.,Select a valid data flow control for the module (FLOWCTRL).,PtP,module doe support type data flow control,Select valid data flow control module FLOWCTRL
"Error message codes of the ""Port configuration""",16#81A7,Invalid value for XON or XOFF,"Select suitable values for XON (XONCHAR) and XOFF (XOFFCHAR).
Valid range of values: 0...255",PtP,Invalid value XON XOFF,Select suitable value XON XONCHAR XOFF XOFFCHAR Valid range value 0255
"Error message codes of the ""Port configuration""",16#81AA,Invalid operating mode,"Valid operating modes are:
Full duplex (RS232) (0)
Full duplex (RS422) four-wire mode (point-to-point) (1) / (CM PtP (ET 200SP))
Full duplex (RS422) four-wire mode (multipoint master) (2)/ (CM PtP (ET 200SP))
Full duplex (RS 422) four-wire mode (multipoint slave) (3)
Half duplex (RS485) two-wire mode. (4)",PtP,Invalid operating mode,Valid operating mode Full duplex RS232 0 Full duplex RS422 fourwire mode pointtopoint 1 CM PtP ET 200SP Full duplex RS422 fourwire mode multipoint master 2 CM PtP ET 200SP Full duplex RS 422 fourwire mode multipoint slave 3 Half duplex RS485 twowire mode 4
"Error message codes of the ""Port configuration""",16#81AB,Invalid receive line initial state,"Valid initial states are:
""No"" default setting (0)
Signal R(A)=5 V, signal R(B)=0 V (break detection) (1):
Can only be selected with: ""Full duplex (RS422) four-wire mode (point-to-point connection)"" and ""Full duplex (RS422) four-wire mode (multipoint slave)"".
Signal R(A)=0 V, signal R(B)=5 V (2): This default setting corresponds to the idle state (no active send operation).",PtP,Invalid receive line initial state,Valid initial state default setting 0 Signal RA5 V signal RB0 V break detection 1 selected Full duplex RS422 fourwire mode pointtopoint connection Full duplex RS422 fourwire mode multipoint slave Signal RA0 V signal RB5 V 2 default setting corresponds idle state active send operation
"Error message codes of the ""Port configuration""",16#81AC,"Invalid value for ""Break detection""","Select a suitable value for ""Break detection"". The following are valid:
Break detection deactivated (0)
Break detection activated (1).",PtP,Invalid value Break detection,Select suitable value Break detection following valid Break detection deactivated 0 Break detection activated 1
"Error message codes of the ""Port configuration""",16#81AF,The module does not support this protocol.,Select a valid protocol for the module.,PtP,module doe support protocol,Select valid protocol module
"Error codes of the ""Send configuration""",16#81B5,"More than two end delimiters or
end sequence > 5 characters","Select suitable values for ""End delimiter"" and ""End sequence"".
The following are valid:
deactivated (0),
1 (1) or 2 (2) end delimiters
or
deactivated (0),
1 (1) up to 5 (5) characters for the end sequence.",PtP,two end delimiters end sequence 5 character,Select suitable value End delimiter End sequence following valid deactivated 0 1 1 2 2 end delimiters deactivated 0 1 1 5 5 character end sequence
